Neighborhood,Year,Section,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Count
"Banksville                    ",2023,9498,"302 (Mental)",2,1,1,0,0,0,0,0,0,0,0,0,4
"Banksville                    ",2022,9498,"302 (Mental)",0,0,0,2,1,0,0,0,2,1,1,0,7
"Banksville                    ",2021,9498,"302 (Mental)",1,1,0,0,1,2,0,0,2,0,0,1,8
"Banksville                    ",2020,9498,"302 (Mental)",0,0,2,0,0,0,0,0,0,0,1,1,4
"Banksville                    ",2023,9999,"9999 - (Misc. Incident):",1,2,2,3,0,0,0,0,0,0,0,0,8
"Banksville                    ",2022,9999,"9999 - (Misc. Incident):",0,1,2,0,0,1,4,1,2,1,3,2,17
"Banksville                    ",2021,9999,"9999 - (Misc. Incident):",4,7,1,3,2,2,4,2,3,0,1,1,30
"Banksville                    ",2020,9999,"9999 - (Misc. Incident):",2,4,1,2,3,6,2,4,2,1,3,1,31
"Banksville                    ",2023,4106,"Access Device Fraud",0,1,0,2,0,0,0,0,0,0,0,0,3
"Banksville                    ",2022,4106,"Access Device Fraud",0,0,1,1,0,0,2,1,0,0,0,1,6
"Banksville                    ",2021,4106,"Access Device Fraud",1,1,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,4106,"Access Device Fraud",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2023,3742.1,"Accident Involv. Death/Inj. While not Licensed",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,3742.1,"Accident Involv. Death/Inj. While not Licensed",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2021,9018,"Accidental Fire",0,0,1,0,0,1,0,0,0,0,0,0,2
"Banksville                    ",2023,3743,"Accidents Involving Damage to Attended Veh. or Property",0,1,3,2,0,0,0,0,0,0,0,0,6
"Banksville                    ",2022,3743,"Accidents Involving Damage to Attended Veh. or Property",0,1,1,0,0,1,0,2,1,2,0,2,10
"Banksville                    ",2021,3743,"Accidents Involving Damage to Attended Veh. or Property",2,1,1,4,0,0,0,1,0,1,1,0,11
